university_name,university_id
Data Science Institute,1
AI Robotics Research Center,2
Machine Learning Lab,3
Computer Vision Research Group,4
Natural Language Processing Lab,5
Artificial Intelligence Lab,6
Autonomous Systems Lab,7
Data Analytics and Visualization Lab,8
Bioinformatics Research Group,9
Deep Learning Research Lab,10
Space Exploration Technologies Lab,11
Artificial Intelligence in Healthcare Lab,12
Cybersecurity Research Group,13
Renewable Energy Research Center,14
Networked Systems Research Lab,15
Blockchain and Cryptocurrency Research Group,16
Advanced Robotics Institute,17
Bioinformatics and Computational Biology Lab,18
Human-Computer Interaction Research Lab,19
Health Informatics Research Center,20
Autonomous Systems Research Center,21
Computational Biology and Bioinformatics Lab,22
Computer Vision and Image Processing Lab,23
Natural Language Understanding Research Group,24
Social Robotics Lab,25
Autonomous Vehicles Research Group,26
Human-Computer Interaction Lab,27
Bioinformatics and Computational Genomics Lab,28
Robotics and Automation Laboratory,29
Network Security Research Group,30
Medical Image Analysis Lab,31
Data Science and Public Health Research Center,32
Autonomous Systems Engineering Lab,33
Human-Robot Interaction Research Group,34
Autonomous Vehicles Research Center,35
Biomedical Imaging Lab,36
Artificial Intelligence and Robotics Lab,37
Cybersecurity Research Institute,38
Geospatial Data Science Lab,39
Bioinformatics Research Institute,40
Computer Vision and Robotics Lab,41
Healthcare Informatics Lab,42
Blockchain and Cryptography Lab,43
Computer Graphics and Visualization Lab,44
Biomedical Imaging Laboratory,45
Natural Language Processing Research Lab,46
Data Mining and Knowledge Discovery Lab,47
Autonomous Systems Laboratory,48
Computational Neuroscience Laboratory,49
Computer Vision and Pattern Recognition Lab,50
Quantum Computing Research Group,51
Biomechanics and Rehabilitation Engineering Lab,52
Network Security and Privacy Research Lab,53
Aerospace Systems Engineering Lab,54
Natural Language Processing Laboratory,55
Autonomous Robotics and Perception Lab,56
Health Informatics and Biomedical Data Science Lab,57
Human-Computer Interaction Research Group,58
Blockchain and Cryptocurrency Research Center,59
Artificial General Intelligence Lab,60
Health Informatics Research Institute,61
Environmental Monitoring and Analysis Center,62
Robotics and AI Integration Lab,63
Autonomous Navigation Research Group,64
Computer Vision Research Institute,65
Natural Language Processing and Healthcare Informatics Lab,66
Autonomous Robotics Laboratory,67
Cybersecurity and Privacy Research Center,68
Data Science and Social Analytics Lab,69
Center for Advanced Robotics,70
Machine Learning and Data Analytics Lab,71
Natural Language Processing Research Group,72
Center for Artificial Intelligence and Robotics,73
Data Science and Analytics Research Institute,74
Intelligent Transportation Systems Laboratory,75
Biomedical Imaging and Analysis Laboratory,76
Cybersecurity Research Center,77
Computer Graphics and Visualization Laboratory,78
Network Security and Privacy Research Group,79
Machine Learning for Social Good Research Lab,80
Artificial Intelligence in Healthcare Research Center,81
Machine Learning for Climate Science Research Group,82
Bioinformatics and Computational Biology Research Group,83
Computer Graphics and Visualization Research Group,84
Robotics and Automation Research Laboratory,85
Machine Learning Research Institute,86
Computer Vision Laboratory,87
Natural Language Understanding Laboratory,88
Smart City Research Lab,89
Environmental Data Science Institute,90
Autonomous Systems Research Group,91
AI and Healthcare Innovation Lab,92
Climate Change Research Institute,93
Renewable Energy Research Lab,94
Biomedical Engineering Lab,95
AI in Finance Lab,96
Autonomous Vehicles Research Lab,97
Deep Learning Research Center,98
Neural Networks Lab,99
AI and Robotics Lab,100
AI in Healthcare Lab,101
Deep Learning for Healthcare Lab,102
Deep Learning for Natural Language Processing Lab,103
Deep Learning for Visual Recognition Lab,104
Deep Learning for Robotics Lab,105
Deep Learning for Finance Lab,106
AI Vision Lab,107
Speech and Audio Processing Lab,108
AI for Healthcare Lab,109
Deep Learning for Agriculture Lab,110
Neural Networks and NLP Lab,111
Computer Vision Lab,112
AI and Education Lab,113
Robotics and AI Lab,114
AI for Finance Lab,115
AI for Environmental Science Lab,116
Deep Learning Research Institute,117
Neuroinformatics Lab,118
Deep Learning for Climate Science Lab,119
Deep Learning for Autonomous Vehicles Lab,120
Brain-Computer Interface Research Group,121
Deep Learning for Biomedical Imaging Lab,122
Deep Learning for Autonomous Systems Lab,123
Deep Learning for Financial Forecasting Lab,124
Deep Learning for Healthcare Diagnostics Lab,125
Deep Learning for Drug Discovery Lab,126
Deep Learning for Financial Analytics Lab,127
Deep Learning for Natural Language Understanding Lab,128
Deep Learning for Energy Systems Lab,129
Environmental Science Research Institute,130
Climate Research Institute,131
Astronomy Research Institute,132
Computer Vision and Machine Learning Lab,133
Computer Vision and Pattern Recognition Group,134
Computer Vision and Medical Imaging Lab,135
